"id","showing_id","day_id","cinema_id","payment_type_id","netto_price","brutto_price","ticket_count"
"1","2495","646","13","2","22.99","28.28","1"
"2","2078","1296","18","3","29.99","36.89","2"
"3","3906","1293","23","3","22.99","28.28","2"
"4","545","1438","25","3","29.99","36.89","1"
"5","338","1032","20","5","22.99","28.28","1"
"6","1659","116","32","4","19.99","24.59","1"
"7","3202","189","10","2","23.99","29.51","3"
"8","1000","97","23","2","39.99","49.19","4"
"9","1413","1053","3","2","21.99","27.05","2"
"10","949","1098","6","1","21.99","27.05","4"
"11","3198","303","18","4","22.99","28.28","4"
"12","62","5","26","2","19.99","24.59","4"
"13","2620","1144","14","2","19.99","24.59","4"
"14","3806","26","15","4","21.99","27.05","1"
"15","2903","906","12","2","23.99","29.51","2"
"16","3000","84","7","3","23.99","29.51","4"
"17","2660","494","32","5","39.99","49.19","4"
"18","992","19","15","4","23.99","29.51","2"
"19","2292","1379","26","4","20.99","25.82","1"
"20","111","899","3","2","23.99","29.51","2"
"21","923","1124","20","5","21.99","27.05","2"
"22","1811","296","25","4","20.99","25.82","4"
"23","2973","609","27","4","29.99","36.89","3"
"24","2424","152","12","4","22.99","28.28","2"
"25","1235","282","19","1","19.99","24.59","2"
"26","1120","57","25","2","19.99","24.59","4"
"27","886","536","1","2","19.99","24.59","1"
"28","3283","42","32","1","20.99","25.82","3"
"29","3010","1189","14","3","19.99","24.59","1"
"30","3460","936","3","1","22.99","28.28","3"
"31","3782","1413","12","1","39.99","49.19","4"
"32","198","1003","30","3","22.99","28.28","1"
"33","3863","1393","13","1","19.99","24.59","4"
"34","458","1407","24","5","19.99","24.59","2"
"35","203","1104","33","1","21.99","27.05","1"
"36","3220","693","1","4","19.99","24.59","3"
"37","1700","663","18","3","19.99","24.59","2"
"38","1295","890","20","4","39.99","49.19","4"
"39","2869","1273","10","4","22.99","28.28","3"
"40","1456","627","9","5","39.99","49.19","4"
"41","58","959","22","3","22.99","28.28","2"
"42","428","462","7","5","20.99","25.82","1"
"43","1355","404","19","1","22.99","28.28","1"
"44","3089","1240","26","4","39.99","49.19","3"
"45","2422","1171","14","1","39.99","49.19","2"
"46","746","635","7","4","39.99","49.19","4"
"47","1556","92","23","4","23.99","29.51","4"
"48","3476","121","16","1","39.99","49.19","4"
"49","2727","942","9","1","20.99","25.82","4"
"50","3783","801","17","3","19.99","24.59","1"
"51","1816","1036","4","1","21.99","27.05","4"
"52","3370","975","24","1","19.99","24.59","3"
"53","548","64","13","5","39.99","49.19","1"
"54","3298","1166","26","3","29.99","36.89","4"
"55","2531","1024","21","3","23.99","29.51","1"
"56","2766","210","11","5","20.99","25.82","1"
"57","1309","1177","31","5","22.99","28.28","1"
"58","2249","554","27","1","39.99","49.19","1"
"59","3918","1166","4","4","39.99","49.19","3"
"60","2663","1294","10","3","22.99","28.28","3"
"61","890","70","12","4","39.99","49.19","3"
"62","1305","591","15","1","23.99","29.51","1"
"63","3335","671","13","3","39.99","49.19","3"
"64","2604","1346","28","2","23.99","29.51","3"
"65","2302","6","19","1","21.99","27.05","1"
"66","1312","1321","1","4","29.99","36.89","2"
"67","542","1058","27","1","23.99","29.51","3"
"68","2455","1187","27","4","19.99","24.59","2"
"69","2312","624","29","4","29.99","36.89","4"
"70","1213","114","21","5","22.99","28.28","1"
"71","3287","170","5","3","21.99","27.05","4"
"72","1901","1272","5","5","39.99","49.19","3"
"73","2242","1358","10","1","23.99","29.51","4"
"74","2523","310","12","3","29.99","36.89","2"
"75","1000","1413","12","5","29.99","36.89","4"
"76","1953","683","7","1","19.99","24.59","2"
"77","3923","284","16","3","21.99","27.05","4"
"78","730","370","23","4","20.99","25.82","4"
"79","2224","1121","14","3","23.99","29.51","3"
"80","301","916","3","3","20.99","25.82","1"
"81","2037","136","20","3","21.99","27.05","4"
"82","671","468","29","3","23.99","29.51","1"
"83","3550","437","19","3","20.99","25.82","3"
"84","1814","1448","23","3","23.99","29.51","2"
"85","3919","1093","27","4","20.99","25.82","4"
"86","1964","1119","21","4","21.99","27.05","3"
"87","3979","987","28","3","22.99","28.28","1"
"88","62","1453","2","1","23.99","29.51","4"
"89","2103","1356","21","2","23.99","29.51","3"
"90","2872","865","10","2","29.99","36.89","3"
"91","1086","241","3","2","21.99","27.05","1"
"92","3418","1099","10","2","22.99","28.28","3"
"93","2502","665","29","3","22.99","28.28","4"
"94","705","1259","25","5","20.99","25.82","4"
"95","524","1066","4","2","29.99","36.89","3"
"96","2644","380","8","3","39.99","49.19","4"
"97","398","1367","10","5","19.99","24.59","3"
"98","3861","1088","18","4","29.99","36.89","4"
"99","852","1412","29","5","23.99","29.51","3"
"100","784","218","31","2","19.99","24.59","1"
"101","1354","806","15","2","39.99","49.19","2"
"102","3124","403","28","2","21.99","27.05","3"
"103","760","574","1","5","19.99","24.59","3"
"104","1348","201","14","5","23.99","29.51","1"
"105","1186","936","11","1","39.99","49.19","4"
"106","1963","1206","7","2","22.99","28.28","2"
"107","242","1330","2","1","29.99","36.89","2"
"108","1226","61","12","4","21.99","27.05","3"
"109","3979","689","29","1","29.99","36.89","4"
"110","99","746","18","1","21.99","27.05","3"
"111","121","1248","16","1","23.99","29.51","1"
"112","3010","1258","26","2","19.99","24.59","3"
"113","935","1251","33","3","22.99","28.28","2"
"114","1863","1392","20","4","19.99","24.59","3"
"115","3449","226","25","1","19.99","24.59","1"
"116","2596","545","12","2","29.99","36.89","1"
"117","1643","423","13","5","29.99","36.89","1"
"118","1530","1344","25","3","22.99","28.28","1"
"119","2201","536","26","5","22.99","28.28","3"
"120","168","672","4","2","19.99","24.59","2"
"121","361","1046","16","1","22.99","28.28","1"
"122","2476","226","27","1","20.99","25.82","2"
"123","1824","1033","6","3","39.99","49.19","1"
"124","2341","637","14","4","22.99","28.28","1"
"125","3186","10","9","4","22.99","28.28","1"
"126","570","44","19","1","21.99","27.05","1"
"127","3329","345","18","5","19.99","24.59","2"
"128","285","952","7","5","23.99","29.51","2"
"129","724","843","11","4","20.99","25.82","3"
"130","502","952","8","5","29.99","36.89","4"
"131","2203","43","4","3","22.99","28.28","1"
"132","604","487","4","2","21.99","27.05","4"
"133","2133","444","22","1","20.99","25.82","2"
"134","3057","559","12","1","29.99","36.89","3"
"135","2546","693","9","3","20.99","25.82","1"
"136","3477","5","1","1","29.99","36.89","3"
"137","1161","770","21","4","39.99","49.19","3"
"138","2101","1195","26","5","19.99","24.59","1"
"139","1145","994","21","2","39.99","49.19","4"
"140","395","339","31","2","22.99","28.28","3"
"141","449","125","23","5","21.99","27.05","4"
"142","143","1336","14","4","20.99","25.82","3"
"143","3540","3","11","4","21.99","27.05","2"
"144","1788","1320","10","2","20.99","25.82","1"
"145","3884","1375","9","4","21.99","27.05","4"
"146","1310","1283","6","2","19.99","24.59","2"
"147","1257","401","4","3","29.99","36.89","1"
"148","3926","671","14","2","20.99","25.82","2"
"149","2677","1311","2","4","22.99","28.28","1"
"150","3564","625","23","2","22.99","28.28","2"
"151","2069","979","5","1","19.99","24.59","3"
"152","2920","1122","19","5","20.99","25.82","1"
"153","64","275","2","5","22.99","28.28","2"
"154","2661","447","30","5","22.99","28.28","3"
"155","1994","175","13","4","22.99","28.28","4"
"156","171","209","17","1","22.99","28.28","1"
"157","3887","133","4","4","20.99","25.82","4"
"158","1117","1425","5","4","22.99","28.28","2"
"159","1863","856","27","2","20.99","25.82","3"
"160","446","1372","3","2","19.99","24.59","2"
"161","1651","157","8","2","19.99","24.59","1"
"162","664","940","18","3","20.99","25.82","4"
"163","2593","331","25","3","29.99","36.89","3"
"164","2886","467","32","5","39.99","49.19","3"
"165","3034","1133","7","1","29.99","36.89","3"
"166","2498","1160","24","1","23.99","29.51","2"
"167","1311","835","10","3","39.99","49.19","4"
"168","3198","1187","17","3","19.99","24.59","3"
"169","2799","1205","28","3","29.99","36.89","3"
"170","3306","433","24","1","29.99","36.89","4"
"171","2539","1078","5","3","19.99","24.59","3"
"172","1243","1056","15","4","21.99","27.05","2"
"173","2670","904","29","2","39.99","49.19","4"
"174","1917","370","21","5","29.99","36.89","4"
"175","926","22","2","4","29.99","36.89","1"
"176","2333","1171","17","2","23.99","29.51","2"
"177","3262","1346","31","4","23.99","29.51","3"
"178","215","1401","10","1","23.99","29.51","3"
"179","1868","824","7","1","21.99","27.05","2"
"180","772","785","18","1","23.99","29.51","2"
"181","2625","542","28","2","21.99","27.05","3"
"182","2497","1417","29","1","29.99","36.89","1"
